id,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,location
209.0,223051,7,1,4,0.00797,0.681,0.823,0.542,0.149,-5.107,0.0299,0.905,124.991,10
210.0,229773,11,0,4,0.0923,0.645,0.862,0,0.192,-4.757,0.0965,0.798,119.991,11
211.0,185158,9,0,4,0.135,0.61,0.754,0,0.107,-6.469,0.0585,0.357,121.952,10
212.0,243946,10,0,4,0.0987,0.818,0.562,0.813,0.355,-7.779,0.0356,0.57,125.03,10
213.0,242667,9,1,4,0.0111,0.511,0.855,1.3e-06,0.119,-3.028,0.0479,0.314,164.002,10
214.0,245493,3,1,4,0.225,0.6,0.663,0,0.119,-5.802,0.0477,0.286,121.07,10
215.0,197487,0,1,4,0.0501,0.9,0.4,0,0.0876,-8.443,0.124,0.338,136.001,10
216.0,271011,9,1,5,0.348,0.334,0.392,0.767,0.186,-11.138,0.0572,0.0509,107.273,10
217.0,207507,0,1,4,0.13,0.295,0.723,0.0318,0.151,-5.855,0.0325,0.174,83.793,10
218.0,216600,3,0,4,0.986,0.414,0.153,0.931,0.111,-16.83,0.0298,0.125,150.214,9
219.0,255067,9,1,4,0.194,0.693,0.565,0.000175,0.0806,-12.583,0.0345,0.692,97.937,10
221.0,260707,8,1,4,0.0148,0.569,0.856,7.31e-05,0.927,-7.317,0.0453,0.461,115.935,10
222.0,236333,5,1,4,0.0857,0.521,0.529,1.38e-05,0.0611,-6.117,0.0321,0.381,121.826,10
223.0,165493,4,1,4,0.598,0.483,0.691,0,0.0918,-5.223,0.0805,0.597,79.666,7
302.0,214027,10,0,4,0.0192,0.763,0.837,0.811,0.247,-11.823,0.0585,0.858,159.952,9
303.0,259000,0,0,4,0.631,0.36,0.453,0.0686,0.0901,-12.938,0.049,0.0514,139.991,9
304.0,243520,0,1,4,0.00208,0.581,0.75,0.000442,0.109,-7.211,0.0304,0.325,132.195,5
305.0,240000,0,1,4,0.885,0.63,0.242,0.892,0.0904,-16.499,0.0303,0.134,108.023,10
306.0,416413,7,1,4,0.0058,0.806,0.777,0.93,0.11,-7.306,0.0518,0.079,123.007,9
307.0,210480,2,0,4,0.364,0.879,0.617,0.0203,0.117,-5.011,0.231,0.702,124.934,9
308.0,191307,0,0,4,0.312,0.511,0.873,0.000914,0.173,-5.324,0.0289,0.738,135.696,9
309.0,382840,7,1,4,0.0074,0.794,0.873,0.829,0.108,-7.969,0.0401,0.776,127.963,9
310.0,288000,5,1,4,0.000295,0.363,0.942,6.46e-06,0.329,-5.657,0.0605,0.323,163.235,9
311.0,458133,1,0,4,0.061,0.799,0.832,0.932,0.0914,-11.719,0.046,0.118,128.014,9
312.0,220446,3,0,4,0.992,0.0657,0.0739,0.934,0.119,-20.907,0.0454,0.0358,57.31,9
313.0,215053,4,0,4,0.0466,0.765,0.317,0.482,0.124,-12.178,0.0495,0.352,70.918,9
314.0,423680,4,0,4,0.000146,0.756,0.937,0.769,0.0938,-8.074,0.0407,0.307,129.995,11
315.0,239467,1,1,4,0.0536,0.816,0.711,0,0.129,-4.582,0.33,0.53,91.72,9
316.0,386267,2,1,4,0.000734,0.738,0.685,0.829,0.0982,-8.051,0.0488,0.143,128.987,9
317.0,39375,7,1,4,0.000269,0.58,0.853,0.016,0.356,-13.57,0.0869,0.0392,127.987,9
318.0,441600,0,0,4,0.053,0.512,0.565,0.867,0.111,-11.841,0.0356,0.053,125.014,9
371.0,226720,4,0,4,0.11,0.667,0.805,0,0.132,-3.449,0.24,0.385,184.117,5
